,Pdam,Pv,Ab,As,Aasp,Ac,Ap,Ad,Aacu,Md,Mf,Cm,Gf,Pc,Pn,Fa,Fc,Pdae
V1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0
V2,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1
V3,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1
V4,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0
V5,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1
V6,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1
V7,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1
V8,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1
V9,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0
V10,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
V11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
V12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
V13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
V14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
V15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
V16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
V18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
V19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
V20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
