site,Nematomorpha,Nemertea,Salifidae,Glossiphoniidae,Naididae,Oligiochaeta,Arachnid,Styloniscidae,Copepoda,Acari,Cladocera,Collembola,Elmidae,Hydrophilidae,Ptilodactylidae ,Chironomidae,Culicidae,Dixid,Ephydridae,Limoniidae,Muscidae,Psychodidae,Simuliidae,Tabanidae,Tanyderidae,Tipulidae,Coloburiscidae,Leptophlebiidae,Corixidae,Mesoveliidae,Notonectidae,Veliidae,Corydalidae,Coenagrionidae,Corduliidae,Lestidae,Gripopterygidae,Conoesucidae,Hydrobiosidae,Hydropsychidae,Hydroptilidae,Leptoceridae,Oeconesidae,Polycentropodidae,Amphipod,Parastacidae,Ostracoda,shaeriidae,Lymnaeidae,Physidae,Planorboidae,Latiidae,Hydrobiidae,Dalyellidae, Dugesiidae,Terestrial
F01,0,0,0,2,3,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,5,1,0,0,0,0,19,0,0,0,0,0,0,17,0,0,0,1510,0,74,123,0,57,10,0,8000,0,90,6
F02,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,224,0,0,0,0,27,0,6,0,0,0,22,0,0,0,0,0,0,11,0,0,1,825,0,0,6,0,7,2,0,2784,0,15,0
F03,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,12,91,1,0,921,0,2,2
F04,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,7,0,0,101,0,5,1
F05,0,3,0,0,0,21,0,0,0,0,0,0,0,2,0,3,6,0,0,6,0,1,0,0,0,0,0,0,0,13,2,6,0,5,0,0,0,0,0,0,2,1,0,0,279,0,114,1,0,44,0,0,152,0,2,6
F06,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,97,0,2,0
F07,0,0,0,1,0,166,0,0,0,0,0,0,0,1,0,8,31,0,0,32,0,0,0,0,0,0,0,0,8,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,67,0,3,13,9,0,54,0,1,0
F08,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,10,0,8,2,0,109,0,0,0
F09,0,1,0,0,0,32,0,0,0,0,0,0,486,0,0,9,0,1,0,1,0,0,11,0,0,0,0,120,9,1,0,0,12,1,0,0,1,24,8,9,0,39,0,0,23,0,8,1,0,0,12,8,370,0,4,1
F10,0,1,0,1,0,31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,28,0,0,0,0,0,11,10,0,24,0,0,137,0,24,4
