Site,E,N
F01,175.003431,-36.976647
F02,175.002268,-36.978992
F03,175.027413,-37.007027
F04,175.028105,-36.990774
F05,174.994849,-37.035105
F06,175.043637,-37.016961
F07,175.022802,-37.018778
F08,175.021691,-37.018842
F09,175.088776,-36.978420
F10,175.052615,-37.021907
F11,175.036394,-36.988560
F12,175.033673,-37.017601
F13,174.949387,-37.022431
F14,175.009751,-37.026832
F15,175.073536,-37.024058
F16,175.017086,-37.023652
F17,175.016458,-37.024131
F18,175.056411,-37.020940
F19,175.012331,-37.030024
F20,174.947847,-37.024638
F21,174.995649,-37.045087
F22,174.990606,-37.048308
F23,175.028177,-36.990106
F24,175.045935,-37.040201
F25,175.016238,-37.040475
F26,175.005388,-37.059649
F27,175.067985,-37.045253
F28,175.059785,-37.062601
F29,175.037621,-36.984032
